ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,group_raw,ontology,group
GO:0008038,neuron recognition,12/863,34/10180,0.352941176470588,4.16331538409106,5.62282322836909,1.21115297379844e-05,0.0281593066408138,0.0281593066408138,CNTN6/OPCML/CNTN2/ROBO2/EPHB2/ROBO1/EFNA5/EPHB3/CNTN4/DSCAML1/PALLD/GAP43,12,top90SNPrm,BP,top90SNPrm
GO:0048013,ephrin receptor signaling pathway,11/863,32/10180,0.34375,4.05489571263036,5.26745769323804,3.72713559272767e-05,0.0395427435134776,0.0395427435134776,TIAM1/RBPJ/EPHB1/EPHB2/LYN/EFNA5/ANKS1A/EPHB3/KALRN/EPHA6/ARHGEF28,11,top90SNPrm,BP,top90SNPrm
